그룹명,날짜,방문수,,,,,,
감지해변,2025-05-01,527,,,,,,
감지해변,2025-05-02,692,,,열 레이블,,,
감지해변,2025-05-03,588,,,감지해변,봉래물양장갤러리,흰여울문화마을,총합계
감지해변,2025-05-04,1490,,합계 : 방문수,16060,46860,84700,147620
감지해변,2025-05-05,991,,,,,,
감지해변,2025-05-06,533,,,,,,
감지해변,2025-05-07,468,,,,,,
감지해변,2025-05-08,468,,,,,,
감지해변,2025-05-09,267,,,,,,
감지해변,2025-05-10,483,,,,,,
감지해변,2025-05-11,429,,,,,,
감지해변,2025-05-12,597,,,,,,
감지해변,2025-05-13,425,,,,,,
감지해변,2025-05-14,495,,,,,,
감지해변,2025-05-15,250,,,,,,
감지해변,2025-05-16,296,,,,,,
감지해변,2025-05-17,630,,,,,,
감지해변,2025-05-18,758,,,,,,
감지해변,2025-05-19,511,,,,,,
감지해변,2025-05-20,404,,,,,,
감지해변,2025-05-21,335,,,,,,
감지해변,2025-05-22,607,,,,,,
감지해변,2025-05-23,400,,,,,,
감지해변,2025-05-24,379,,,,,,
감지해변,2025-05-25,474,,,,,,
감지해변,2025-05-26,443,,,,,,
감지해변,2025-05-27,319,,,,,,
감지해변,2025-05-28,356,,,,,,
감지해변,2025-05-29,406,,,,,,
감지해변,2025-05-30,356,,,,,,
감지해변,2025-05-31,683,,,,,,
봉래물양장갤러리,2025-05-01,1436,,,,,,
봉래물양장갤러리,2025-05-02,1668,,,,,,
봉래물양장갤러리,2025-05-03,1824,,,,,,
봉래물양장갤러리,2025-05-04,1691,,,,,,
봉래물양장갤러리,2025-05-05,1307,,,,,,
봉래물양장갤러리,2025-05-06,1129,,,,,,
봉래물양장갤러리,2025-05-07,1358,,,,,,
봉래물양장갤러리,2025-05-08,1471,,,,,,
봉래물양장갤러리,2025-05-09,1369,,,,,,
봉래물양장갤러리,2025-05-10,1601,,,,,,
봉래물양장갤러리,2025-05-11,1338,,,,,,
봉래물양장갤러리,2025-05-12,1521,,,,,,
봉래물양장갤러리,2025-05-13,1510,,,,,,
봉래물양장갤러리,2025-05-14,1550,,,,,,
봉래물양장갤러리,2025-05-15,1442,,,,,,
봉래물양장갤러리,2025-05-16,1624,,,,,,
봉래물양장갤러리,2025-05-17,1688,,,,,,
봉래물양장갤러리,2025-05-18,1428,,,,,,
봉래물양장갤러리,2025-05-19,1529,,,,,,
봉래물양장갤러리,2025-05-20,1543,,,,,,
봉래물양장갤러리,2025-05-21,1422,,,,,,
봉래물양장갤러리,2025-05-22,1496,,,,,,
봉래물양장갤러리,2025-05-23,1644,,,,,,
봉래물양장갤러리,2025-05-24,1554,,,,,,
봉래물양장갤러리,2025-05-25,1427,,,,,,
봉래물양장갤러리,2025-05-26,1655,,,,,,
봉래물양장갤러리,2025-05-27,1579,,,,,,
봉래물양장갤러리,2025-05-28,1701,,,,,,
봉래물양장갤러리,2025-05-29,1373,,,,,,
봉래물양장갤러리,2025-05-30,1480,,,,,,
봉래물양장갤러리,2025-05-31,1502,,,,,,
흰여울문화마을,2025-05-01,2460,,,,,,
흰여울문화마을,2025-05-02,3146,,,,,,
흰여울문화마을,2025-05-03,3231,,,,,,
흰여울문화마을,2025-05-04,3303,,,,,,
흰여울문화마을,2025-05-05,3091,,,,,,
흰여울문화마을,2025-05-06,2343,,,,,,
흰여울문화마을,2025-05-07,2346,,,,,,
흰여울문화마을,2025-05-08,2714,,,,,,
흰여울문화마을,2025-05-09,2207,,,,,,
흰여울문화마을,2025-05-10,2574,,,,,,
흰여울문화마을,2025-05-11,2581,,,,,,
흰여울문화마을,2025-05-12,2507,,,,,,
흰여울문화마을,2025-05-13,2662,,,,,,
흰여울문화마을,2025-05-14,2633,,,,,,
흰여울문화마을,2025-05-15,2499,,,,,,
흰여울문화마을,2025-05-16,2255,,,,,,
흰여울문화마을,2025-05-17,3259,,,,,,
흰여울문화마을,2025-05-18,3851,,,,,,
흰여울문화마을,2025-05-19,2610,,,,,,
흰여울문화마을,2025-05-20,2487,,,,,,
흰여울문화마을,2025-05-21,2578,,,,,,
흰여울문화마을,2025-05-22,2582,,,,,,
흰여울문화마을,2025-05-23,2888,,,,,,
흰여울문화마을,2025-05-24,2618,,,,,,
흰여울문화마을,2025-05-25,2757,,,,,,
흰여울문화마을,2025-05-26,2746,,,,,,
흰여울문화마을,2025-05-27,2691,,,,,,
흰여울문화마을,2025-05-28,2771,,,,,,
흰여울문화마을,2025-05-29,2559,,,,,,
흰여울문화마을,2025-05-30,2754,,,,,,
흰여울문화마을,2025-05-31,2997,,,,,,
