그룹명,날짜,방문수,,,,,,,
감지해변,2025-01-01,795,,,,열 레이블,,,
감지해변,2025-01-02,321,,,,감지해변,봉래물양장갤러리,흰여울문화마을,총합계
감지해변,2025-01-03,365,,,합계 : 방문수,12268,51674,79335,143277
감지해변,2025-01-04,475,,,,,,,
감지해변,2025-01-05,422,,,,,,,
감지해변,2025-01-06,276,,,,,,,
감지해변,2025-01-07,253,,,,,,,
감지해변,2025-01-08,293,,,,,,,
감지해변,2025-01-09,261,,,,,,,
감지해변,2025-01-10,261,,,,,,,
감지해변,2025-01-11,497,,,,,,,
감지해변,2025-01-12,434,,,,,,,
감지해변,2025-01-13,319,,,,,,,
감지해변,2025-01-14,255,,,,,,,
감지해변,2025-01-15,224,,,,,,,
감지해변,2025-01-16,304,,,,,,,
감지해변,2025-01-17,269,,,,,,,
감지해변,2025-01-18,423,,,,,,,
감지해변,2025-01-19,485,,,,,,,
감지해변,2025-01-20,308,,,,,,,
감지해변,2025-01-21,346,,,,,,,
감지해변,2025-01-22,299,,,,,,,
감지해변,2025-01-23,289,,,,,,,
감지해변,2025-01-24,293,,,,,,,
감지해변,2025-01-25,449,,,,,,,
감지해변,2025-01-26,641,,,,,,,
감지해변,2025-01-27,470,,,,,,,
감지해변,2025-01-28,482,,,,,,,
감지해변,2025-01-29,548,,,,,,,
감지해변,2025-01-30,658,,,,,,,
감지해변,2025-01-31,553,,,,,,,
봉래물양장갤러리,2025-01-01,1262,,,,,,,
봉래물양장갤러리,2025-01-02,1823,,,,,,,
봉래물양장갤러리,2025-01-03,1763,,,,,,,
봉래물양장갤러리,2025-01-04,1502,,,,,,,
봉래물양장갤러리,2025-01-05,1358,,,,,,,
봉래물양장갤러리,2025-01-06,1712,,,,,,,
봉래물양장갤러리,2025-01-07,1541,,,,,,,
봉래물양장갤러리,2025-01-08,1587,,,,,,,
봉래물양장갤러리,2025-01-09,1661,,,,,,,
봉래물양장갤러리,2025-01-10,1578,,,,,,,
봉래물양장갤러리,2025-01-11,1798,,,,,,,
봉래물양장갤러리,2025-01-12,1358,,,,,,,
봉래물양장갤러리,2025-01-13,1590,,,,,,,
봉래물양장갤러리,2025-01-14,1416,,,,,,,
봉래물양장갤러리,2025-01-15,1480,,,,,,,
봉래물양장갤러리,2025-01-16,1649,,,,,,,
봉래물양장갤러리,2025-01-17,1867,,,,,,,
봉래물양장갤러리,2025-01-18,1558,,,,,,,
봉래물양장갤러리,2025-01-19,1739,,,,,,,
봉래물양장갤러리,2025-01-20,1838,,,,,,,
봉래물양장갤러리,2025-01-21,1569,,,,,,,
봉래물양장갤러리,2025-01-22,1555,,,,,,,
봉래물양장갤러리,2025-01-23,1861,,,,,,,
봉래물양장갤러리,2025-01-24,2057,,,,,,,
봉래물양장갤러리,2025-01-25,1537,,,,,,,
봉래물양장갤러리,2025-01-26,1983,,,,,,,
봉래물양장갤러리,2025-01-27,1947,,,,,,,
봉래물양장갤러리,2025-01-28,1881,,,,,,,
봉래물양장갤러리,2025-01-29,1574,,,,,,,
봉래물양장갤러리,2025-01-30,1674,,,,,,,
봉래물양장갤러리,2025-01-31,1956,,,,,,,
흰여울문화마을,2025-01-01,2563,,,,,,,
흰여울문화마을,2025-01-02,2479,,,,,,,
흰여울문화마을,2025-01-03,2495,,,,,,,
흰여울문화마을,2025-01-04,2419,,,,,,,
흰여울문화마을,2025-01-05,2288,,,,,,,
흰여울문화마을,2025-01-06,2610,,,,,,,
흰여울문화마을,2025-01-07,2254,,,,,,,
흰여울문화마을,2025-01-08,2505,,,,,,,
흰여울문화마을,2025-01-09,2473,,,,,,,
흰여울문화마을,2025-01-10,2526,,,,,,,
흰여울문화마을,2025-01-11,2709,,,,,,,
흰여울문화마을,2025-01-12,2525,,,,,,,
흰여울문화마을,2025-01-13,2626,,,,,,,
흰여울문화마을,2025-01-14,2779,,,,,,,
흰여울문화마을,2025-01-15,2672,,,,,,,
흰여울문화마을,2025-01-16,2691,,,,,,,
흰여울문화마을,2025-01-17,2665,,,,,,,
흰여울문화마을,2025-01-18,2472,,,,,,,
흰여울문화마을,2025-01-19,2472,,,,,,,
흰여울문화마을,2025-01-20,2454,,,,,,,
흰여울문화마을,2025-01-21,2512,,,,,,,
흰여울문화마을,2025-01-22,2608,,,,,,,
흰여울문화마을,2025-01-23,2693,,,,,,,
흰여울문화마을,2025-01-24,2831,,,,,,,
흰여울문화마을,2025-01-25,2451,,,,,,,
흰여울문화마을,2025-01-26,2588,,,,,,,
흰여울문화마을,2025-01-27,2540,,,,,,,
흰여울문화마을,2025-01-28,2456,,,,,,,
흰여울문화마을,2025-01-29,2498,,,,,,,
흰여울문화마을,2025-01-30,2730,,,,,,,
흰여울문화마을,2025-01-31,2751,,,,,,,
