그룹명,날짜,방문수,,,,,,
감지해변,2025-09-01,429,,,,,,
감지해변,2025-09-02,349,,,열 레이블,,,
감지해변,2025-09-03,442,,,감지해변,봉래물양장갤러리,흰여울문화마을,총합계
감지해변,2025-09-04,288,,합계 : 방문수,12878,52366,84708,149952
감지해변,2025-09-05,551,,,,,,
감지해변,2025-09-06,910,,,,,,
감지해변,2025-09-07,607,,,,,,
감지해변,2025-09-08,527,,,,,,
감지해변,2025-09-09,430,,,,,,
감지해변,2025-09-10,477,,,,,,
감지해변,2025-09-11,337,,,,,,
감지해변,2025-09-12,348,,,,,,
감지해변,2025-09-13,400,,,,,,
감지해변,2025-09-14,594,,,,,,
감지해변,2025-09-15,411,,,,,,
감지해변,2025-09-16,441,,,,,,
감지해변,2025-09-17,367,,,,,,
감지해변,2025-09-18,274,,,,,,
감지해변,2025-09-19,393,,,,,,
감지해변,2025-09-20,441,,,,,,
감지해변,2025-09-21,625,,,,,,
감지해변,2025-09-22,324,,,,,,
감지해변,2025-09-23,342,,,,,,
감지해변,2025-09-24,311,,,,,,
감지해변,2025-09-25,263,,,,,,
감지해변,2025-09-26,397,,,,,,
감지해변,2025-09-27,522,,,,,,
감지해변,2025-09-28,455,,,,,,
감지해변,2025-09-29,308,,,,,,
감지해변,2025-09-30,315,,,,,,
봉래물양장갤러리,2025-09-01,1516,,,,,,
봉래물양장갤러리,2025-09-02,1611,,,,,,
봉래물양장갤러리,2025-09-03,1801,,,,,,
봉래물양장갤러리,2025-09-04,1698,,,,,,
봉래물양장갤러리,2025-09-05,1918,,,,,,
봉래물양장갤러리,2025-09-06,2054,,,,,,
봉래물양장갤러리,2025-09-07,1465,,,,,,
봉래물양장갤러리,2025-09-08,1835,,,,,,
봉래물양장갤러리,2025-09-09,2021,,,,,,
봉래물양장갤러리,2025-09-10,1813,,,,,,
봉래물양장갤러리,2025-09-11,1809,,,,,,
봉래물양장갤러리,2025-09-12,1911,,,,,,
봉래물양장갤러리,2025-09-13,1644,,,,,,
봉래물양장갤러리,2025-09-14,1570,,,,,,
봉래물양장갤러리,2025-09-15,1680,,,,,,
봉래물양장갤러리,2025-09-16,1736,,,,,,
봉래물양장갤러리,2025-09-17,1632,,,,,,
봉래물양장갤러리,2025-09-18,1669,,,,,,
봉래물양장갤러리,2025-09-19,1976,,,,,,
봉래물양장갤러리,2025-09-20,1845,,,,,,
봉래물양장갤러리,2025-09-21,1603,,,,,,
봉래물양장갤러리,2025-09-22,1682,,,,,,
봉래물양장갤러리,2025-09-23,1650,,,,,,
봉래물양장갤러리,2025-09-24,1664,,,,,,
봉래물양장갤러리,2025-09-25,1541,,,,,,
봉래물양장갤러리,2025-09-26,1844,,,,,,
봉래물양장갤러리,2025-09-27,1984,,,,,,
봉래물양장갤러리,2025-09-28,1677,,,,,,
봉래물양장갤러리,2025-09-29,1778,,,,,,
봉래물양장갤러리,2025-09-30,1739,,,,,,
흰여울문화마을,2025-09-01,2524,,,,,,
흰여울문화마을,2025-09-02,2469,,,,,,
흰여울문화마을,2025-09-03,2567,,,,,,
흰여울문화마을,2025-09-04,2650,,,,,,
흰여울문화마을,2025-09-05,2774,,,,,,
흰여울문화마을,2025-09-06,2941,,,,,,
흰여울문화마을,2025-09-07,2371,,,,,,
흰여울문화마을,2025-09-08,2628,,,,,,
흰여울문화마을,2025-09-09,2629,,,,,,
흰여울문화마을,2025-09-10,2879,,,,,,
흰여울문화마을,2025-09-11,2685,,,,,,
흰여울문화마을,2025-09-12,2815,,,,,,
흰여울문화마을,2025-09-13,2636,,,,,,
흰여울문화마을,2025-09-14,2754,,,,,,
흰여울문화마을,2025-09-15,3062,,,,,,
흰여울문화마을,2025-09-16,3086,,,,,,
흰여울문화마을,2025-09-17,2843,,,,,,
흰여울문화마을,2025-09-18,2941,,,,,,
흰여울문화마을,2025-09-19,3146,,,,,,
흰여울문화마을,2025-09-20,2864,,,,,,
흰여울문화마을,2025-09-21,2968,,,,,,
흰여울문화마을,2025-09-22,2844,,,,,,
흰여울문화마을,2025-09-23,2833,,,,,,
흰여울문화마을,2025-09-24,2664,,,,,,
흰여울문화마을,2025-09-25,2998,,,,,,
흰여울문화마을,2025-09-26,3152,,,,,,
흰여울문화마을,2025-09-27,3034,,,,,,
흰여울문화마을,2025-09-28,2919,,,,,,
흰여울문화마을,2025-09-29,3006,,,,,,
흰여울문화마을,2025-09-30,3026,,,,,,
