그룹명,날짜,방문수,,,,,,
감지해변,2025-11-01,630,,,,,,
감지해변,2025-11-02,625,,,열 레이블,,,
감지해변,2025-11-03,353,,,감지해변,봉래물양장갤러리,흰여울문화마을,총합계
감지해변,2025-11-04,358,,합계 : 방문수,12026,53860,90248,156134
감지해변,2025-11-05,325,,,,,,
감지해변,2025-11-06,357,,,,,,
감지해변,2025-11-07,414,,,,,,
감지해변,2025-11-08,607,,,,,,
감지해변,2025-11-09,520,,,,,,
감지해변,2025-11-10,356,,,,,,
감지해변,2025-11-11,382,,,,,,
감지해변,2025-11-12,294,,,,,,
감지해변,2025-11-13,395,,,,,,
감지해변,2025-11-14,406,,,,,,
감지해변,2025-11-15,464,,,,,,
감지해변,2025-11-16,543,,,,,,
감지해변,2025-11-17,333,,,,,,
감지해변,2025-11-18,282,,,,,,
감지해변,2025-11-19,335,,,,,,
감지해변,2025-11-20,350,,,,,,
감지해변,2025-11-21,340,,,,,,
감지해변,2025-11-22,535,,,,,,
감지해변,2025-11-23,533,,,,,,
감지해변,2025-11-24,376,,,,,,
감지해변,2025-11-25,313,,,,,,
감지해변,2025-11-26,264,,,,,,
감지해변,2025-11-27,270,,,,,,
감지해변,2025-11-28,290,,,,,,
감지해변,2025-11-29,371,,,,,,
감지해변,2025-11-30,405,,,,,,
봉래물양장갤러리,2025-11-01,1720,,,,,,
봉래물양장갤러리,2025-11-02,1464,,,,,,
봉래물양장갤러리,2025-11-03,1912,,,,,,
봉래물양장갤러리,2025-11-04,1786,,,,,,
봉래물양장갤러리,2025-11-05,1704,,,,,,
봉래물양장갤러리,2025-11-06,1963,,,,,,
봉래물양장갤러리,2025-11-07,1760,,,,,,
봉래물양장갤러리,2025-11-08,1977,,,,,,
봉래물양장갤러리,2025-11-09,1948,,,,,,
봉래물양장갤러리,2025-11-10,1760,,,,,,
봉래물양장갤러리,2025-11-11,1879,,,,,,
봉래물양장갤러리,2025-11-12,1772,,,,,,
봉래물양장갤러리,2025-11-13,1732,,,,,,
봉래물양장갤러리,2025-11-14,2127,,,,,,
봉래물양장갤러리,2025-11-15,1836,,,,,,
봉래물양장갤러리,2025-11-16,1756,,,,,,
봉래물양장갤러리,2025-11-17,1956,,,,,,
봉래물양장갤러리,2025-11-18,1763,,,,,,
봉래물양장갤러리,2025-11-19,1929,,,,,,
봉래물양장갤러리,2025-11-20,1762,,,,,,
봉래물양장갤러리,2025-11-21,1936,,,,,,
봉래물양장갤러리,2025-11-22,2064,,,,,,
봉래물양장갤러리,2025-11-23,1838,,,,,,
봉래물양장갤러리,2025-11-24,1808,,,,,,
봉래물양장갤러리,2025-11-25,1484,,,,,,
봉래물양장갤러리,2025-11-26,1689,,,,,,
봉래물양장갤러리,2025-11-27,1633,,,,,,
봉래물양장갤러리,2025-11-28,1662,,,,,,
봉래물양장갤러리,2025-11-29,1851,,,,,,
봉래물양장갤러리,2025-11-30,1389,,,,,,
흰여울문화마을,2025-11-01,3562,,,,,,
흰여울문화마을,2025-11-02,3550,,,,,,
흰여울문화마을,2025-11-03,3015,,,,,,
흰여울문화마을,2025-11-04,2884,,,,,,
흰여울문화마을,2025-11-05,2951,,,,,,
흰여울문화마을,2025-11-06,3005,,,,,,
흰여울문화마을,2025-11-07,2707,,,,,,
흰여울문화마을,2025-11-08,2733,,,,,,
흰여울문화마을,2025-11-09,2725,,,,,,
흰여울문화마을,2025-11-10,2848,,,,,,
흰여울문화마을,2025-11-11,2909,,,,,,
흰여울문화마을,2025-11-12,3026,,,,,,
흰여울문화마을,2025-11-13,3069,,,,,,
흰여울문화마을,2025-11-14,3243,,,,,,
흰여울문화마을,2025-11-15,3362,,,,,,
흰여울문화마을,2025-11-16,2864,,,,,,
흰여울문화마을,2025-11-17,2916,,,,,,
흰여울문화마을,2025-11-18,2806,,,,,,
흰여울문화마을,2025-11-19,3144,,,,,,
흰여울문화마을,2025-11-20,3113,,,,,,
흰여울문화마을,2025-11-21,3086,,,,,,
흰여울문화마을,2025-11-22,3517,,,,,,
흰여울문화마을,2025-11-23,2785,,,,,,
흰여울문화마을,2025-11-24,3012,,,,,,
흰여울문화마을,2025-11-25,2851,,,,,,
흰여울문화마을,2025-11-26,2882,,,,,,
흰여울문화마을,2025-11-27,2848,,,,,,
흰여울문화마을,2025-11-28,2996,,,,,,
흰여울문화마을,2025-11-29,3161,,,,,,
흰여울문화마을,2025-11-30,2678,,,,,,
