순위,관광지ID,관심지점명,구분,연령대,비율
1,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,관광명소,40,49.7
2,943b04432f738e9bb91407d784abe573,다대포해변공원,관광명소,40,20.9
3,e072c1b4998d4085fa9a342d74a7042f,부산현대미술관,문화생활시설,40,10.5
4,8e5645030d7d79144dffe58933a410ac,을숙도공원,관광명소,40,4.4
5,9a534489368634e1093d016bb5b5d573,장림포구,관광명소,40,3.8
6,d370e090659fb62031b46eec83ecdc96,을숙도피크닉광장,관광명소,40,2.7
7,7802497f9205dc6af09ce33ee7f7b012,감천중앙부두,교통시설,40,2.6
8,f6edce2b2c6eb4e26b2ff6310146736d,아미산전망대,관광명소,40,2.1
9,ee6566a64bf2f579f3767e82d4aaf1bb,감천항서방파제,관광명소,40,1.6
10,d1037db88d9c32cbad3cbee48c409fbd,감천항,교통시설,40,1.6
