순위,관광지ID,관심지점명,구분,연령대,비율
1,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,관광명소,30,50.0
2,943b04432f738e9bb91407d784abe573,다대포해변공원,관광명소,30,20.6
3,e072c1b4998d4085fa9a342d74a7042f,부산현대미술관,문화생활시설,30,10.2
4,8e5645030d7d79144dffe58933a410ac,을숙도공원,관광명소,30,4.8
5,d370e090659fb62031b46eec83ecdc96,을숙도피크닉광장,관광명소,30,3.8
6,9a534489368634e1093d016bb5b5d573,장림포구,관광명소,30,3.6
7,7802497f9205dc6af09ce33ee7f7b012,감천중앙부두,교통시설,30,2.2
8,4f4811e4f63524c1f6340b0726ce51ea,을숙도,관광명소,30,1.7
9,dd3bbd96a763adc4f409ee41daeae1a5,CGV하단아트몰링,문화생활시설,30,1.6
10,f6edce2b2c6eb4e26b2ff6310146736d,아미산전망대,관광명소,30,1.5
