순위,관광지ID,관심지점명,구분,연령대,비율
1,f4b4f749a6cdfd734d4512c18b227d6a,태종대,관광명소,20,37.9
2,3c084e342c5c7955c27bd07463731102,국립해양박물관,문화생활시설,20,17.8
3,7ac5723b1829ec4e00a71780ebea6c82,피아크,문화생활시설,20,9.0
4,6bd4baec3a9c1c2b8eb1dbf6a2f574e9,청학배수지전망대,관광명소,20,7.7
5,9ef97bf6a998d70b5492874b32608b80,태종대온천,관광명소,20,6.9
6,b9772199f0e3db266edf35f0520d616e,아르떼뮤지엄부산,문화생활시설,20,6.9
7,ab19d1fc66e0c6847f43994c2793a926,청학수변공원,관광명소,20,4.7
8,b2cd6fdc324c7e59e23f4249c1077c9d,태종대전망대,관광명소,20,4.3
9,e94c38f5112b5c04fbb07abdb1fca515,CGV드라이브인영도,문화생활시설,20,2.6
10,f29629b150d2cd7643f9fc6c9044e3ad,감지해변,관광명소,20,2.1
