관광지ID,중심시도명,중심시군구명,중심관광지명,중심카테고리 명_대,중심카테고리 명_중,순위
270eb8f0a3847a70e0384bfc8eccc0fb,부산광역시,영도구,하리방파제,관광지,자연관광,74
e37d9f1b0fa9d3095186a7647292dda8,부산광역시,영도구,흰여울해안터널,관광지,기타관광,75
01c41f736c46a8d213297f1eeb8414b2,부산광역시,영도구,송남사,관광지,역사관광,76
f79effb66ab31c8df6d5e0930466d0ce,부산광역시,영도구,해련사,관광지,역사관광,77
24d3c196257b04a266bada49dc505b7c,부산광역시,영도구,브릿지수변테마공원,관광지,문화관광,78
fc000d234b60d6b779ce2a81d891df35,부산광역시,영도구,끄티/봉래,관광지,문화관광,79
366383030680e56d8b917456a587d9e2,부산광역시,영도구,나인호텔,숙박,숙박,80
38747832f15f4ea6fd77d2ad41958233,부산광역시,영도구,영도맥주축제,관광지,문화관광,81
8777439623f668c78bcd54672be2fe28,부산광역시,영도구,지오모텔,숙박,숙박,82
5c32627005a04f4624e3dd244fca47a7,부산광역시,영도구,복전심인당,관광지,역사관광,83
cca72aecb2bfa5ffe4eb433b6af9da18,부산광역시,영도구,발원사,관광지,역사관광,84
77b20b55048d3b1c5938c97793b692b2,부산광역시,영도구,조도방파제,관광지,자연관광,85
a3d25442ae115ba75447b35eae3aa871,부산광역시,영도구,서정적인호텔/부산영도점,숙박,숙박,86
13b2584dc0d972ff10fac0552de3be06,부산광역시,영도구,순직선원위령탑,관광지,역사관광,87
17af9965251088d27304b60ed75bd2bf,부산광역시,영도구,영도어울림문화공원,관광지,문화관광,88
7866897d48f6943440f32ccda9cd4982,부산광역시,영도구,깡깡이마을여행자센터,관광지,기타관광,89
5b1b2ae589359c06cf7a0bac76a10791,부산광역시,영도구,엘스테이,숙박,숙박,90
fe666ce4a7027645a22424312137380a,부산광역시,영도구,블루모텔,숙박,숙박,91
d490e52debf10869c3075882af998ef8,부산광역시,영도구,이송도전망대,관광지,문화관광,92
4820beaebc0d7ab3d11e6e4714bdb6ea,부산광역시,영도구,해양대방파제,관광지,자연관광,93
21207cf2a96f6a5d6027bab917f6fbf6,부산광역시,영도구,해돋이전망대,관광지,문화관광,94
59a0bc4d2ec9169ecb927ee56a0eaedc,부산광역시,영도구,영화사,관광지,역사관광,95
7a968d48ff05d9286d58c7bd73e7ddf5,부산광역시,영도구,남항방파제,관광지,자연관광,96
4c7275e20cd9cc985cd9e28c75033fcd,부산광역시,영도구,무진선원,관광지,역사관광,97
2306cc327db65c179c01c87dbd2fa1e9,부산광역시,영도구,희빈장여관,숙박,숙박,98
d1bb2c7af6ccbe015d0f88e88caeb862,부산광역시,영도구,신원모텔,숙박,숙박,99
7dbab9355d6e8ee4cd011f137eba61fa,부산광역시,영도구,중리항방파제등대,관광지,문화관광,100
